form,lemma,part_of_speech,id_sen
",",",",PUNCT,9.0
который,который,PRON,9.0
определяет,определять,VERB,9.0
последовательность,последовательность,NOUN,9.0
операций,операция,NOUN,9.0
для,для,ADP,9.0
решения,решение,NOUN,9.0
конкретного,конкретный,ADJ,9.0
множества,множество,NOUN,9.0
задач,задача,NOUN,9.0
и,и,CCONJ,9.0
обладает,обладать,VERB,9.0
пятью,пять,NUM,9.0
важными,важный,ADJ,9.0
чертами,черта,NOUN,9.0
:,:,PUNCT,9.0
конечность,конечность,NOUN,9.0
",",",",PUNCT,9.0
определённость,определенность,NOUN,9.0
",",",",PUNCT,9.0
ввод,ввод,NOUN,9.0
",",",",PUNCT,9.0
вывод,вывод,NOUN,9.0
",",",",PUNCT,9.0
эффективность,эффективность,NOUN,9.0
"""","""",PUNCT,9.0
.,.,PUNCT,9.0
(,(,PUNCT,9.0
Д.,Д.,PROPN,9.0
Э.,Э.,PROPN,9.0
Кнут,Кнут,PROPN,9.0
),),PUNCT,9.0
.,.,PUNCT,9.0
"""","""",PUNCT,10.0
Алгоритм,алгоритм,NOUN,10.0
-,-,PUNCT,10.0
это,это,PRON,10.0
всякая,всякий,DET,10.0
система,система,NOUN,10.0
вычислений,вычисление,NOUN,10.0
",",",",PUNCT,10.0
выполняемых,выполнять,VERB,10.0
по,по,ADP,10.0
строго,строго,ADV,10.0
определённым,определить,VERB,10.0
правилам,правило,NOUN,10.0
",",",",PUNCT,10.0
которая,который,PRON,10.0
после,после,ADP,10.0
какого-либо,какой-либо,DET,10.0
числа,число,NOUN,10.0
шагов,шаг,NOUN,10.0
заведомо,заведомо,ADV,10.0
приводит,приводить,VERB,10.0
к,к,ADP,10.0
решению,решение,NOUN,10.0
поставленной,ставить,VERB,10.0
задачи,задача,NOUN,10.0
"""","""",PUNCT,10.0
.,.,PUNCT,10.0
(,(,PUNCT,10.0
А.,А.,PROPN,10.0
Колмогоров,Колмогоров,PROPN,10.0
),),PUNCT,10.0
.,.,PUNCT,10.0
"""","""",PUNCT,11.0
Алгоритм,алгоритм,NOUN,11.0
-,-,PUNCT,11.0
это,это,PRON,11.0
точное,точный,ADJ,11.0
предписание,предписание,NOUN,11.0
",",",",PUNCT,11.0
определяющее,определять,VERB,11.0
вычислительный,вычислительный,ADJ,11.0
процесс,процесс,NOUN,11.0
",",",",PUNCT,11.0
идущий,идти,VERB,11.0
от,от,ADP,11.0
варьируемых,варьировать,VERB,11.0
исходных,исходный,ADJ,11.0
данных,данные,NOUN,11.0
к,к,ADP,11.0
искомому,искомый,ADJ,11.0
результату,результат,NOUN,11.0
"""","""",PUNCT,11.0
.,.,PUNCT,11.0
(,(,PUNCT,11.0
А.,А.,PROPN,11.0
Марков,Марков,PROPN,11.0
),),PUNCT,11.0
.,.,PUNCT,11.0
"""","""",PUNCT,12.0
Алгоритм,алгоритм,NOUN,12.0
-,-,PUNCT,12.0
точное,точный,ADJ,12.0
предписание,предписание,NOUN,12.0
о,о,ADP,12.0
выполнении,выполнение,NOUN,12.0
в,в,ADP,12.0
определённом,определенный,ADJ,12.0
порядке,порядок,NOUN,12.0
некоторой,некоторый,DET,12.0
системы,система,NOUN,12.0
операций,операция,NOUN,12.0
",",",",PUNCT,12.0
ведущих,вести,VERB,12.0
к,к,ADP,12.0
решению,решение,NOUN,12.0
всех,весь,DET,12.0
задач,задача,NOUN,12.0
данного,данный,ADJ,12.0
типа,тип,NOUN,12.0
"""","""",PUNCT,12.0
.,.,PUNCT,12.0
(,(,PUNCT,12.0
Философский,философский,ADJ,12.0
словарь,словарь,NOUN,12.0
под,под,ADP,12.0
ред.,редакция,NOUN,12.0
М.,М.,PROPN,12.0
М.,М.,PROPN,12.0
Розенталя,Розенталь,PROPN,12.0
),),PUNCT,12.0
.,.,PUNCT,12.0
"""","""",PUNCT,13.0
Алгоритм,алгоритм,NOUN,13.0
-,-,PUNCT,13.0
строго,строго,ADV,13.0
детерминированная,детерминировать,VERB,13.0
последовательность,последовательность,NOUN,13.0
действий,действие,NOUN,13.0
",",",",PUNCT,13.0
описывающая,описывать,VERB,13.0
процесс,процесс,NOUN,13.0
преобразования,преобразование,NOUN,13.0
объекта,объект,NOUN,13.0
из,из,ADP,13.0
начального,начальный,ADJ,13.0
состояния,состояние,NOUN,13.0
в,в,ADP,13.0
конечное,конечный,ADJ,13.0
",",",",PUNCT,13.0
записанная,записать,VERB,13.0
с,с,ADP,13.0
помощью,помощь,NOUN,13.0
понятных,понятный,ADJ,13.0
исполнителю,исполнитель,NOUN,13.0
команд,команда,NOUN,13.0
"""","""",PUNCT,13.0
.,.,PUNCT,13.0
(,(,PUNCT,13.0
Николай,Николай,PROPN,13.0
Дмитриевич,Дмитриевич,PROPN,13.0
Угринович,Угринович,PROPN,13.0
",",",",PUNCT,13.0
учебник,учебник,NOUN,13.0
"""","""",PUNCT,13.0
Информатика,информатика,NOUN,13.0
и,и,CCONJ,13.0
информ,информационный,ADJ,13.0
.,.,PUNCT,13.0
технологии,технология,NOUN,13.0
"""","""",PUNCT,13.0
),),PUNCT,13.0
.,.,PUNCT,13.0
Формальные,формальный,ADJ,14.0
свойства,свойство,NOUN,14.0
алгоритмов,алгоритм,NOUN,14.0
.,.,PUNCT,14.0
Различные,различный,ADJ,15.0
определения,определение,NOUN,15.0
алгоритма,алгоритм,NOUN,15.0
в,в,ADP,15.0
явной,явный,ADJ,15.0
или,или,CCONJ,15.0
неявной,неявный,ADJ,15.0
форме,форма,NOUN,15.0
содержат,содержать,VERB,15.0
следующий,следующий,ADJ,15.0
ряд,ряд,NOUN,15.0
общих,общий,ADJ,15.0
требований,требование,NOUN,15.0
:,:,PUNCT,15.0
-,-,PUNCT,16.0
Дискретность,дискретность,NOUN,16.0
-,-,PUNCT,16.0
алгоритм,алгоритм,NOUN,16.0
должен,должен,ADJ,16.0
представлять,представлять,VERB,16.0
процесс,процесс,NOUN,16.0
решения,решение,NOUN,16.0
задачи,задача,NOUN,16.0
как,как,SCONJ,16.0
последовательное,последовательный,ADJ,16.0
выполнение,выполнение,NOUN,16.0
некоторых,некоторый,DET,16.0
простых,простой,ADJ,16.0
шагов,шаг,NOUN,16.0
.,.,PUNCT,16.0
При,при,ADP,17.0
этом,это,PRON,17.0
для,для,ADP,17.0
выполнения,выполнение,NOUN,17.0
каждого,каждый,DET,17.0
шага,шаг,NOUN,17.0
алгоритма,алгоритм,NOUN,17.0
требуется,требоваться,VERB,17.0
конечный,конечный,ADJ,17.0
отрезок,отрезок,NOUN,17.0
времени,время,NOUN,17.0
",",",",PUNCT,17.0
то,то,PRON,17.0
есть,быть,VERB,17.0
преобразование,преобразование,NOUN,17.0
исходных,исходный,ADJ,17.0
данных,данные,NOUN,17.0
в,в,ADP,17.0
результат,результат,NOUN,17.0
осуществляется,осуществлять,VERB,17.0
во,в,ADP,17.0
времени,время,NOUN,17.0
дискретно,дискретно,ADV,17.0
.,.,PUNCT,17.0
-,-,PUNCT,18.0
Детерминированность,детерминированность,NOUN,18.0
(,(,PUNCT,18.0
определённость,определенность,NOUN,18.0
),),PUNCT,18.0
.,.,PUNCT,18.0
В,в,ADP,19.0
каждый,каждый,DET,19.0
момент,момент,NOUN,19.0
времени,время,NOUN,19.0
следующий,следующий,ADJ,19.0
шаг,шаг,NOUN,19.0
работы,работа,NOUN,19.0
однозначно,однозначно,ADV,19.0
определяется,определять,VERB,19.0
состоянием,состояние,NOUN,19.0
системы,система,NOUN,19.0
.,.,PUNCT,19.0
Таким,такой,DET,20.0
образом,образ,NOUN,20.0
",",",",PUNCT,20.0
алгоритм,алгоритм,NOUN,20.0
выдаёт,выдавать,VERB,20.0
один,один,DET,20.0
и,и,CCONJ,20.0
тот,тот,DET,20.0
же,же,PART,20.0
результат,результат,NOUN,20.0
(,(,PUNCT,20.0
ответ,ответ,NOUN,20.0
),),PUNCT,20.0
для,для,ADP,20.0
одних,один,DET,20.0
и,и,CCONJ,20.0
тех,тот,DET,20.0
же,же,PART,20.0
исходных,исходный,ADJ,20.0
данных,данные,NOUN,20.0
.,.,PUNCT,20.0
В,в,ADP,21.0
современной,современный,ADJ,21.0
трактовке,трактовка,NOUN,21.0
у,у,ADP,21.0
разных,разный,ADJ,21.0
реализаций,реализация,NOUN,21.0
одного,один,DET,21.0
и,и,CCONJ,21.0
того,тот,DET,21.0
же,же,PART,21.0
алгоритма,алгоритм,NOUN,21.0
должен,должен,ADJ,21.0
быть,быть,VERB,21.0
изоморфный,изоморфный,ADJ,21.0
граф,граф,NOUN,21.0
.,.,PUNCT,21.0
С,с,ADP,22.0
другой,другой,ADJ,22.0
стороны,сторона,NOUN,22.0
",",",",PUNCT,22.0
существуют,существовать,VERB,22.0
вероятностные,вероятностный,ADJ,22.0
алгоритмы,алгоритм,NOUN,22.0
",",",",PUNCT,22.0
в,в,ADP,22.0
которых,который,PRON,22.0
следующий,следующий,ADJ,22.0
шаг,шаг,NOUN,22.0
работы,работа,NOUN,22.0
зависит,зависеть,VERB,22.0
от,от,ADP,22.0
текущего,текущий,ADJ,22.0
состояния,состояние,NOUN,22.0
системы,система,NOUN,22.0
и,и,CCONJ,22.0
генерируемого,генерировать,VERB,22.0
случайного,случайный,ADJ,22.0
числа,число,NOUN,22.0
.,.,PUNCT,22.0
Однако,однако,ADV,23.0
при,при,ADP,23.0
включении,включение,NOUN,23.0
метода,метод,NOUN,23.0
генерации,генерация,NOUN,23.0
случайных,случайный,ADJ,23.0
чисел,число,NOUN,23.0
в,в,ADP,23.0
список,список,NOUN,23.0
"""","""",PUNCT,23.0
исходных,исходный,ADJ,23.0
данных,данные,NOUN,23.0
"""","""",PUNCT,23.0
",",",",PUNCT,23.0
вероятностный,вероятностный,ADJ,23.0
алгоритм,алгоритм,NOUN,23.0
становится,становиться,VERB,23.0
подвидом,подвид,NOUN,23.0
обычного,обычный,ADJ,23.0
.,.,PUNCT,23.0
-,-,PUNCT,24.0
Понятность,понятность,NOUN,24.0
-,-,PUNCT,24.0
алгоритм,алгоритм,NOUN,24.0
для,для,ADP,24.0
исполнителя,исполнитель,NOUN,24.0
должен,должен,ADJ,24.0
включать,включать,VERB,24.0
только,только,PART,24.0
те,тот,DET,24.0
команды,команда,NOUN,24.0
",",",",PUNCT,24.0
которые,который,PRON,24.0
ему,он,PRON,24.0
(,(,PUNCT,24.0
исполнителю,исполнитель,NOUN,24.0
),),PUNCT,24.0
доступны,доступный,ADJ,24.0
",",",",PUNCT,24.0
которые,который,PRON,24.0
входят,входить,VERB,24.0
в,в,ADP,24.0
его,его,DET,24.0
систему,система,NOUN,24.0
команд,команда,NOUN,24.0
.,.,PUNCT,24.0
-,-,PUNCT,25.0
Завершаемость,завершаемость,NOUN,25.0
(,(,PUNCT,25.0
конечность,конечность,NOUN,25.0
),),PUNCT,25.0
-,-,PUNCT,25.0
при,при,ADP,25.0
корректно,корректно,ADV,25.0
заданных,задать,VERB,25.0
исходных,исходный,ADJ,25.0
данных,данные,NOUN,25.0
алгоритм,алгоритм,NOUN,25.0
должен,должен,ADJ,25.0
завершать,завершать,VERB,25.0
работу,работа,NOUN,25.0
и,и,CCONJ,25.0
выдавать,выдавать,VERB,25.0
результат,результат,NOUN,25.0
за,за,ADP,25.0
конечное,конечный,ADJ,25.0
число,число,NOUN,25.0
шагов,шаг,NOUN,25.0
.,.,PUNCT,25.0
С,с,ADP,26.0
другой,другой,ADJ,26.0
стороны,сторона,NOUN,26.0
",",",",PUNCT,26.0
вероятностный,вероятностный,ADJ,26.0
алгоритм,алгоритм,NOUN,26.0
может,мочь,VERB,26.0
и,и,PART,26.0
никогда,никогда,ADV,26.0
не,не,PART,26.0
выдать,выдать,VERB,26.0
результат,результат,NOUN,26.0
",",",",PUNCT,26.0
но,но,CCONJ,26.0
вероятность,вероятность,NOUN,26.0
этого,это,PRON,26.0
равна,равный,ADJ,26.0
0,0,NUM,26.0
.,.,PUNCT,26.0
-,-,PUNCT,27.0
Массовость,массовость,NOUN,27.0
(,(,PUNCT,27.0
универсальность,универсальность,NOUN,27.0
),),PUNCT,27.0
.,.,PUNCT,27.0
Алгоритм,алгоритм,NOUN,28.0
должен,должен,ADJ,28.0
быть,быть,AUX,28.0
применим,применимый,ADJ,28.0
к,к,ADP,28.0
разным,разный,ADJ,28.0
наборам,набор,NOUN,28.0
исходных,исходный,ADJ,28.0
данных,данные,NOUN,28.0
.,.,PUNCT,28.0
-,-,PUNCT,29.0
Результативность,результативность,NOUN,29.0
-,-,PUNCT,29.0
завершение,завершение,NOUN,29.0
алгоритма,алгоритм,NOUN,29.0
определёнными,определенный,ADJ,29.0
результатами,результат,NOUN,29.0
.,.,PUNCT,29.0
-,-,PUNCT,30.0
Алгоритм,алгоритм,NOUN,30.0
содержит,содержать,VERB,30.0
ошибки,ошибка,NOUN,30.0
",",",",PUNCT,30.0
если,если,SCONJ,30.0
приводит,приводить,VERB,30.0
к,к,ADP,30.0
получению,получение,NOUN,30.0
неправильных,неправильный,ADJ,30.0
результатов,результат,NOUN,30.0
либо,либо,CCONJ,30.0
не,не,PART,30.0
даёт,давать,VERB,30.0
результатов,результат,NOUN,30.0
вовсе,вовсе,ADV,30.0
.,.,PUNCT,30.0
-,-,PUNCT,31.0
Алгоритм,алгоритм,NOUN,31.0
не,не,PART,31.0
содержит,содержать,VERB,31.0
ошибок,ошибка,NOUN,31.0
",",",",PUNCT,31.0
если,если,SCONJ,31.0
он,он,PRON,31.0
даёт,давать,VERB,31.0
правильные,правильный,ADJ,31.0
результаты,результат,NOUN,31.0
для,для,ADP,31.0
любых,любой,DET,31.0
допустимых,допустимый,ADJ,31.0
исходных,исходный,ADJ,31.0
данных,данные,NOUN,31.0
.,.,PUNCT,31.0
История,история,NOUN,32.0
термина,термин,NOUN,32.0
.,.,PUNCT,32.0
Современное,современный,ADJ,33.0
формальное,формальный,ADJ,33.0
определение,определение,NOUN,33.0
алгоритма,алгоритм,NOUN,33.0
было,быть,AUX,33.0
дано,дать,VERB,33.0
в,в,ADP,33.0
30,30,NUM,33.0
-,-,PUNCT,33.0
50-е,50-й,ADJ,33.0
годы,год,NOUN,33.0
XX,xx,ADJ,33.0
века,век,NOUN,33.0
в,в,ADP,33.0
работах,работа,NOUN,33.0
Тьюринга,Тьюринг,PROPN,33.0
",",",",PUNCT,33.0
Поста,Пост,PROPN,33.0
",",",",PUNCT,33.0
Чёрча,Чёрч,PROPN,33.0
(,(,PUNCT,33.0
тезис,тезис,NOUN,33.0
Чёрча,Чёрч,PROPN,33.0
-,-,PUNCT,33.0
Тьюринга,Тьюринг,PROPN,33.0
),),PUNCT,33.0
",",",",PUNCT,33.0
Н.,Н.,PROPN,33.0
Винера,Винер,PROPN,33.0
",",",",PUNCT,33.0
А.,А.,PROPN,33.0
А.,А.,PROPN,33.0
Маркова,Марков,PROPN,33.0
.,.,PUNCT,33.0
Само,сам,ADJ,34.0
слово,слово,NOUN,34.0
"""","""",PUNCT,34.0
алгоритм,алгоритм,NOUN,34.0
"""","""",PUNCT,34.0
происходит,происходить,VERB,34.0
от,от,ADP,34.0
имени,имя,NOUN,34.0
учёного,ученый,NOUN,34.0
Абу,Абу,PROPN,34.0
Абдуллах,Абдуллах,PROPN,34.0
Мухаммеда,Мухаммед,PROPN,34.0
ибн,ибн,PART,34.0
Муса,Муса,PROPN,34.0
аль,аль,PART,34.0
-,-,PUNCT,34.0
Хорезми,Хорезми,PROPN,34.0
(,(,PUNCT,34.0
алгоритм,алгоритм,NOUN,34.0
-,-,PUNCT,34.0
аль,аль,PART,34.0
-,-,PUNCT,34.0
Хорезми,Хорезми,PROPN,34.0
),),PUNCT,34.0
.,.,PUNCT,34.0
Около,около,ADP,35.0
825,825,ADJ,35.0
года,год,NOUN,35.0
он,он,PRON,35.0
написал,писать,VERB,35.0
сочинение,сочинение,NOUN,35.0
",",",",PUNCT,35.0
в,в,ADP,35.0
котором,который,PRON,35.0
впервые,впервые,ADV,35.0
дал,дать,VERB,35.0
описание,описание,NOUN,35.0
придуманной,придумать,VERB,35.0
в,в,ADP,35.0
Индии,Индия,PROPN,35.0
позиционной,позиционный,ADJ,35.0
десятичной,десятичный,ADJ,35.0
системы,система,NOUN,35.0
счисления,счисление,NOUN,35.0
.,.,PUNCT,35.0
К,к,ADP,36.0
сожалению,сожаление,NOUN,36.0
",",",",PUNCT,36.0
арабский,арабский,ADJ,36.0
оригинал,оригинал,NOUN,36.0
книги,книга,NOUN,36.0
не,не,PART,36.0
сохранился,сохраниться,VERB,36.0
.,.,PUNCT,36.0
Аль,аль,PART,37.0
-,-,PUNCT,37.0
Хорезми,Хорезми,PROPN,37.0
сформулировал,формулировать,VERB,37.0
правила,правило,NOUN,37.0
вычислений,вычисление,NOUN,37.0
в,в,ADP,37.0
новой,новый,ADJ,37.0
системе,система,NOUN,37.0
и,и,CCONJ,37.0
",",",",PUNCT,37.0
вероятно,вероятно,ADV,37.0
",",",",PUNCT,37.0
впервые,впервые,ADV,37.0
использовал,использовать,VERB,37.0
цифру,цифра,NOUN,37.0
0,0,NUM,37.0
для,для,ADP,37.0
обозначения,обозначение,NOUN,37.0
пропущенной,пропустить,VERB,37.0
позиции,позиция,NOUN,37.0
в,в,ADP,37.0
записи,запись,NOUN,37.0
числа,число,NOUN,37.0
(,(,PUNCT,37.0
её,ее,DET,37.0
индийское,индийский,ADJ,37.0
название,название,NOUN,37.0
арабы,араб,NOUN,37.0
перевели,перевести,VERB,37.0
как,как,SCONJ,37.0
as-sifr,as-sifr,X,37.0
или,или,CCONJ,37.0
просто,просто,PART,37.0
sifr,sifr,X,37.0
",",",",PUNCT,37.0
отсюда,отсюда,ADV,37.0
такие,такой,DET,37.0
слова,слово,NOUN,37.0
",",",",PUNCT,37.0
как,как,SCONJ,37.0
"""","""",PUNCT,37.0
цифра,цифра,NOUN,37.0
"""","""",PUNCT,37.0
и,и,CCONJ,37.0
"""","""",PUNCT,37.0
шифр,шифр,NOUN,37.0
"""","""",PUNCT,37.0
),),PUNCT,37.0
.,.,PUNCT,37.0
Приблизительно,приблизительно,ADV,38.0
в,в,ADP,38.0
это,этот,DET,38.0
же,же,PART,38.0
время,время,NOUN,38.0
индийские,индийский,ADJ,38.0
цифры,цифра,NOUN,38.0
начали,начать,VERB,38.0
применять,применять,VERB,38.0
и,и,PART,38.0
другие,другой,ADJ,38.0
арабские,арабский,ADJ,38.0
учёные,ученый,NOUN,38.0
.,.,PUNCT,38.0
В,в,ADP,39.0
первой,первый,ADJ,39.0
половине,половина,NOUN,39.0
XII,xii,ADJ,39.0
века,век,NOUN,39.0
книга,книга,NOUN,39.0
аль,аль,PART,39.0
-,-,PUNCT,39.0
Хорезми,Хорезми,PROPN,39.0
в,в,ADP,39.0
латинском,латинский,ADJ,39.0
переводе,перевод,NOUN,39.0
проникла,проникнуть,VERB,39.0
в,в,ADP,39.0
Европу,Европа,PROPN,39.0
.,.,PUNCT,39.0
Переводчик,переводчик,NOUN,40.0
",",",",PUNCT,40.0
имя,имя,NOUN,40.0
которого,который,PRON,40.0
до,до,ADP,40.0
нас,мы,PRON,40.0
не,не,PART,40.0
дошло,дойти,VERB,40.0
",",",",PUNCT,40.0
дал,дать,VERB,40.0
ей,она,PRON,40.0
название,название,NOUN,40.0
Algoritmi,Algoritmi,PROPN,40.0
de,de,X,40.0
numero,numero,X,40.0
Indorum,Indorum,PROPN,40.0
(,(,PUNCT,40.0
"""","""",PUNCT,40.0
Алгоритмы,алгоритм,NOUN,40.0
о,о,ADP,40.0
счёте,счет,NOUN,40.0
индийском,индийский,ADJ,40.0
"""","""",PUNCT,40.0
),),PUNCT,40.0
.,.,PUNCT,40.0
По-арабски,по-арабски,ADV,41.0
же,же,PART,41.0
книга,книга,NOUN,41.0
именовалась,именоваться,VERB,41.0
Китаб,Китаб,PROPN,41.0
аль,аль,X,41.0
-,-,PUNCT,41.0
джебр,джебр,X,41.0
валь,валь,X,41.0
-,-,PUNCT,41.0
мукабала,мукабала,X,41.0
(,(,PUNCT,41.0
"""","""",PUNCT,41.0
Книга,книга,NOUN,41.0
о,о,ADP,41.0
сложении,сложение,NOUN,41.0
и,и,CCONJ,41.0
вычитании,вычитание,NOUN,41.0
"""","""",PUNCT,41.0
),),PUNCT,41.0
.,.,PUNCT,41.0
Из,из,ADP,42.0
оригинального,оригинальный,ADJ,42.0
названия,название,NOUN,42.0
книги,книга,NOUN,42.0
происходит,происходить,VERB,42.0
слово,слово,NOUN,42.0
Алгебра,Алгебра,PROPN,42.0
(,(,PUNCT,42.0
алгебра,алгебра,NOUN,42.0
-,-,PUNCT,42.0
аль,аль,X,42.0
